# Thread proposals — these are guesses from keywords, not judgements.
#
#   keep a line to accept it        edit the letters to correct it
#   delete a line to reject it      then:  ./de tag --apply
#
# Threads: B  D  G  H  I  J  L  M  N  O  P  Q  R  S  T  U
#
M,T     electrical-transmission-of                          # Electrical Transmission of Speech             The Signal / The Harmony Thread
T       1930s-electronic-music-the-variophone               # 1930's Electronic Music - The Variophone      The Harmony Thread
D       mechanical-principles-1930                          # Mechanical Principles                         Machines
M       1930s-how-photographs-were-transmitted-by-wire-s    # 1930s How Photographs Were Transmitted by Wi  The Signal
T       the-voder-1939-the-worlds-first-electronic-voice    # The Voder: 1939, the worlds first electronic  The Harmony Thread
T       1939-voder-speech-synthesiz                         # Voder Speech Synthesizer                      The Harmony Thread
T       1939-voder                                          # Voder Voice Coder                             The Harmony Thread
T,O     sound-recording-and-reproduction-sound-on-film      # Sound Recording and Reproduction (Sound on F  The Harmony Thread / Memory
M       television-and-telephone                            # Television and Telephone                      The Signal
D       uclas-mechanical-brain-1948                         # UCLA's Mechanical Brain: 1948                 Machines
L,O     1968-early-computer-magnetic-tape-units-history     # 1968 Early Computer Magnetic Tape Units- His  Teaching Math / Memory
L,M     how-television-works-1952-an-educational-and-his    # How Television Works" 1952 An Educational an  Teaching Math / The Signal
J       us-navy-uss-saufley-dd465-1952-living-conditions    # US Navy USS Saufley DD465 1952 Living Condit  The Secret History
J       navy-fire-control-computers                         # Navy Fire Control Computers                   The Secret History
Q       cbs-the-search-documentary-mit-automatic-robots     # CBS "the Search" Documentary M.I.T. Automati  Labor & Automation
M       telephone-linemen-in-the                            # Telephone Linemen                             The Signal
Q       digital-future                                      # Automation Scare in a Bakery                  Labor & Automation
S       the-shape-of-the-future                             # The Shape of the Future                       The Card and the Link
M       tools-of-telephony-1956-western-electric-telepho    # Tools of Telephony" 1956 Western Electric Te  The Signal
L,M     gateways-to-the-mind-1958-bell-telephone-educati-2  # Gateways to the Mind " 1958 Bell Telephone E  Teaching Math / The Signal
L,M     gateways-to-the-mind-1958-bell-telephone-educati    # Gateways to the Mind " 1958 Bell Telephone E  Teaching Math / The Signal
P       computer-history-ibm-1401-announcement-1959-data    # Computer History: IBM 1401 Announcement 1959  The Data Thread
O       memory-devices-bell-system-1959-4k                  # Memory Devices                                Memory
J       system-technology-1960-2                            # System Technology                             The Secret History
L       what-will-future-homes-look-like-filmed-in-the-1    # What Will Future Homes Look Like? Filmed in   Teaching Math
T       computer-speech-synthesis                           # Computer Speech Synthesis                     The Harmony Thread
M       behind-the-scenes-with-telstar-1962-bell-telepho    # Behind the Scenes with Telstar " 1962 Bell T  The Signal
J       digital-computer-techniques-principles-1962-us-n    # Digital Computer Techniques & Principles 196  The Secret History
T       milton-babbitt-and-the-music-machine-monitor-ret    # Milton Babbitt and the Music Machine | Monit  The Harmony Thread
L       burroughs-computers-computer-history-b5000-b280     # Burroughs Computers Computer History (b5000,  Teaching Math
J       fylingdales-early-warning                           # Fylingdales Early Warning                     The Secret History
M       magi-and-the-history-of-2                           # Magi and the History of Computer Animation    The Signal
T       milton-babbitt-demonstration-on-electronic-music    # Milton Babbitt-demonstration on electronic m  The Harmony Thread
J,M     navy-satellite-navigation-ibm-7094-anuyk-compute    # Navy Satellite Navigation; IBM 7094; AN/UYK   The Secret History / The Signal
